3200	2877	24
1908	2653	38
2777	1169	49
2586	2862	15
3228	819	91
1432	517	90
58	914	46
925	1899	64
1249	1677	26
1490	909	43
1982	64	40
2041	848	55
3323	1814	16
1435	3693	71
422	286	32
105	167	73
3235	1908	69
850	2487	59
2404	3684	31
2173	839	70
1260	1993	93
1023	3300	52
1189	449	84
3631	1219	85
3643	1869	2
2614	914	15
806	994	94
1157	2078	10
2915	1992	72
1534	2620	62
1288	1286	16
2898	364	18
3676	2220	94
1370	1572	10
1273	1545	60
1288	3449	73
1807	1052	33
1480	2608	21
1172	2625	28
1465	2758	18
176	1405	33
3715	4074	51
1626	2220	95
1288	3338	83
3939	3534	31
1664	2006	90
2532	1220	54
2606	1675	46
2079	2792	43
599	418	45
2711	840	60
1098	113	65
2459	3189	22
3606	1124	41
1397	1409	12
2532	2803	5
3466	1842	28
1299	222	9
922	2003	22
3213	3310	87
987	753	44
1756	2542	69
1541	361	74
3112	3197	22
1968	3618	56
3797	1822	76
944	729	28
1968	2564	72
1222	2004	15
849	272	4
3248	2798	50
2902	782	69
735	1630	41
320	2653	53
106	2542	59
570	2673	51
350	122	70
254	1621	41
2243	1050	28
8	1492	8
3099	2108	8
406	1369	57
2820	2108	69
3022	1385	39
1807	2021	16
601	1771	14
1837	994	11
421	2690	91
157	2516	77
3810	1075	80
826	1992	46
3700	3021	76
3289	3375	64
905	2454	44
1128	1120	85
1504	188	27
1129	839	46
2048	2403	60
577	1571	70
2450	3076	82
2300	2777	61
2018	2516	39
3468	1677	47
2728	2190	79
2454	3204	1
3042	3708	71
3284	2042	50
1977	1657	78
2522	3076	86
3334	1117	41
2188	2408	76
599	1857	64
1632	593	67
2161	2316	78
2017	2044	2
2522	2167	35
1491	1055	54
3810	2033	79
1152	535	37
1122	419	44
217	2720	44
1134	449	95
2507	1318	71
38	36	83
912	1968	52
2861	2922	94
69	62	95
1246	516	22
945	1511	45
700	2104	44
1812	1842	83
1703	3582	10
9	9	43
962	1899	80
1846	1399	86
268	1511	44
1909	1149	16
570	868	54
1729	994	60
1122	1023	51
1652	80	43
2397	562	79
1576	1510	37
1922	567	30
2681	1138	67
1142	1344	54
3553	2013	95
3649	2361	89
832	615	71
791	2538	43
3027	135	35
2820	2035	44
1222	1611	57
1056	1138	93
2459	2373	6
290	222	7
2296	2134	41
3167	1492	41
1040	1152	41
2657	1857	32
3158	333	60
1132	1642	82
582	2450	18
394	964	7
1248	1559	31
335	220	94
1724	318	68
441	1008	16
2506	1386	82
453	336	77
989	1798	75
223	2191	75
1541	813	7
1272	272	87
1488	2304	33
2336	344	10
1611	2893	52
2078	2477	33
2662	1797	86
647	1559	69
3696	289	4
1299	1848	40
737	2976	84
452	65	87
2428	2041	79
2007	3071	63
1394	2336	77
3655	690	84
717	1686	32
791	2827	73
1185	2210	46
427	3781	18
1502	1692	70
2506	1220	7
2008	1647	35
1317	2264	60
637	2843	64
791	333	59
1166	1800	51
423	1857	80
387	2003	61
912	1498	86
1659	1670	60
3366	157	6
254	1621	91
136	2007	70
1555	333	56
857	169	17
1131	3966	32
1492	318	10
696	2108	40
2411	3305	16
1153	3226	43
119	1923	40
350	1509	70
1455	858	77
238	142	35
3045	2525	26
1088	1076	32
570	816	20
575	2335	38
1930	113	94
2442	3075	16
850	1511	14
121	111	63
320	1502	16
2522	898	1
3700	2287	43
1488	2451	26
2651	3152	15
223	8	19
2837	2517	54
2015	2034	54
3337	3775	79
1631	596	88
3414	1231	41
2654	1798	33
375	3030	24
877	816	41
60	2792	24
570	597	36
3305	1512	82
1249	3395	41
1409	2067	24
1220	2511	94
510	2182	72
2014	3924	37
1288	1635	7
2760	3132	5
1556	2296	64
1851	1869	67
2665	1051	86
150	1254	52
1635	431	82
1065	2390	32
1294	3440	10
1131	28	82
150	258	77
3007	3304	2
2175	3014	53
1037	1475	23
448	2678	13
2338	1675	75
3875	2214	74
1137	2560	46
1459	1693	59
3023	1608	14
877	2245	64
570	2997	30
72	1748	86
2315	762	32
1448	2603	64
1195	824	43
358	2813	79
698	3985	16
2831	2320	64
149	8	32
1982	2300	16
1508	2917	89
1288	2912	42
98	1096	77
1504	2060	38
1968	1117	52
851	2163	71
3908	1953	43
928	1681	71
1879	840	37
1981	2003	95
3190	2013	83
1129	734	92
3909	3766	33
2271	1409	11
2174	1059	83
157	1146	39
3477	3928	28
1752	914	33
2822	2282	10
1540	3581	28
147	848	53
2429	1713	15
1096	393	55
106	910	88
3238	3924	18
3810	188	32
203	3251	91
2048	1138	0
1844	2108	38
170	3945	13
3751	1146	33
2828	1814	65
1932	1635	92
2918	2140	1
2543	437	48
3023	2187	79
3675	1511	75
2188	915	50
2816	3030	64
1867	734	91
350	357	9
94	2381	71
2600	1992	43
927	2069	41
1155	1615	60
1742	1477	46
705	2362	32
1639	1882	43
2176	1146	3
1432	1146	53
2049	593	14
1155	3817	43
637	156	60
2141	1475	50
1722	3534	13
329	1869	56
840	90	22
1009	3600	47
2430	1768	12
570	1339	14
570	1402	33
1403	1821	44
1756	1541	51
2168	113	84
488	1968	5
387	2433	54
1166	158	56
373	1486	6
3294	1054	4
387	2933	46
1501	1881	51
1927	595	37
591	1332	67
806	1797	77
1970	2765	86
1649	1685	70
2330	2800	15
1154	2631	16
364	1050	41
2877	3822	64
3414	2174	5
72	449	13
1790	2000	26
14	3889	70
1529	1537	3
819	186	73
174	2329	16
2043	490	69
72	1365	94
3360	1227	88
3745	2153	80
3358	2360	3
3068	113	90
3092	1757	35
2773	1509	44
452	2033	66
1040	1801	35
434	1070	23
2926	479	6
1357	1361	6
1165	2177	43
3724	3192	37
2705	3422	62
2469	3173	8
2138	645	24
3173	991	30
2765	2361	53
3593	3672	41
2762	2002	2
2898	87	33
2520	1867	22
3042	2800	41
2114	1116	6
434	1652	1
3046	1573	95
1500	857	82
260	2837	60
819	1517	10
1541	484	70
1014	302	84
2254	1899	51
1867	615	32
72	1297	57
1826	1845	95
737	2976	16
1503	1692	8
488	2054	76
3023	2697	75
3700	2544	33
2055	1591	34
2210	3183	40
2988	560	45
570	2477	86
2007	2630	33
132	758	16
2096	2037	48
2988	3314	95
2221	2177	3
280	949	92
1846	808	56
2816	2486	24
2507	1992	87
2890	2033	60
2543	2673	89
799	1492	84
1131	1508	64
706	502	34
2233	2013	32
488	1968	85
2548	1572	79
60	2603	43
1185	1739	38
1541	2561	52
3201	2656	13
131	583	70
1183	2345	75
1784	2922	73
3833	2214	38
2823	1813	18
2262	840	40
1790	3751	38
1927	592	32
2505	2004	32
2781	493	6
1783	2405	86
1989	2079	94
2594	1704	82
617	2328	4
3238	3502	52
1866	507	18
1534	1071	31
150	3835	17
2669	1355	16
2044	2071	95
72	1748	8
1635	2105	56
28	27	70
1757	3750	28
1606	2797	54
3365	914	24
381	3087	19
1783	2162	78
2522	2397	73
1484	417	37
1830	740	43
2411	781	18
373	1220	0
1020	1956	92
434	1887	91
1260	381	35
3103	1573	26
2851	3298	56
3794	1992	46
1968	1438	77
693	2619	41
422	417	92
2910	44	30
1498	1671	33
3235	2036	16
1541	2179	70
3729	377	23
488	3179	92
3023	2108	10
2889	734	80
1097	113	3
2689	2745	54
1166	2174	1
698	1409	6
1306	1932	65
223	4100	70
1037	1644	83
1419	3068	22
3042	2153	69
1128	3633	5
700	1858	57
1273	3935	80
648	1935	46
335	507	47
2243	361	79
3310	1644	10
877	911	41
717	1505	52
1860	258	76
890	3388	28
256	2501	76
2728	1474	44
1541	908	95
549	1938	77
2469	1765	43
586	261	64
1168	1375	39
