99	783	140	1.0
204	1437	75	1.0
666	4464	166	1.0
122	925	85	1.0
547	3675	93	1.0
2103	818	79	1.0
2629	2444	0	1.0
232	1704	165	1.0
1356	89	72	1.0
285	2047	144	1.0
3101	2449	122	1.0
1157	428	162	1.0
3337	2828	137	1.0
1338	1255	16	1.0
3661	3168	2	1.0
683	4537	91	1.0
3875	1688	159	1.0
924	2114	122	1.0
4197	4572	72	1.0
2679	3115	120	1.0
4655	3242	0	1.0
2931	3279	86	1.0
635	4296	114	1.0
435	3042	96	1.0
510	10	21	1.0
251	1828	46	1.0
2643	104	138	1.0
619	4209	16	1.0
2719	1721	77	1.0
2013	1138	40	1.0
2442	748	71	1.0
784	889	0	1.0
3366	1963	16	1.0
464	3282	114	1.0
459	3237	72	1.0
475	1784	48	1.0
184	1338	72	1.0
2515	4486	166	1.0
579	4011	158	1.0
2679	3110	122	1.0
166	1214	12	1.0
37	355	91	1.0
1297	3117	87	1.0
238	1752	11	1.0
3286	846	133	1.0
4612	80	0	1.0
406	2843	48	1.0
285	2050	39	1.0
2642	772	43	1.0
3838	1662	132	1.0
1046	167	45	1.0
1527	1133	69	1.0
34	310	144	1.0
699	4648	44	1.0
2643	1715	157	1.0
1025	4580	107	1.0
4030	1788	58	1.0
328	2355	70	1.0
2932	485	67	1.0
2228	3000	52	1.0
53	465	96	1.0
2637	1681	0	1.0
406	2836	48	1.0
643	4331	144	1.0
1599	3944	21	1.0
3852	3155	40	1.0
4701	3750	43	1.0
4407	4163	104	1.0
44	394	61	1.0
140	1066	47	1.0
474	3332	45	1.0
474	3332	96	1.0
520	3634	156	1.0
1827	3984	50	1.0
17	188	0	1.0
1964	3944	44	1.0
3544	1629	65	1.0
2537	1643	56	1.0
2444	3884	144	1.0
4700	292	119	1.0
682	4533	41	1.0
273	1951	131	1.0
573	3941	24	1.0
4229	952	72	1.0
1789	3869	145	1.0
928	3537	145	1.0
3852	1715	92	1.0
1937	4383	14	1.0
3314	3840	142	1.0
4556	2675	72	1.0
442	3093	0	1.0
406	2854	48	1.0
2075	3108	46	1.0
2648	3112	94	1.0
4246	3270	0	1.0
1491	3940	0	1.0
4153	284	120	1.0
1929	1615	0	1.0
3641	3847	108	1.0
676	4495	68	1.0
445	116	166	1.0
6	88	147	1.0
573	3957	133	1.0
529	3702	10	1.0
333	2384	93	1.0
849	4042	72	1.0
69	562	147	1.0
50	441	61	1.0
286	991	137	1.0
99	782	23	1.0
232	1706	94	1.0
257	1871	92	1.0
2662	590	65	1.0
1632	233	48	1.0
3023	680	0	1.0
109	823	63	1.0
4735	1030	138	1.0
1016	2824	71	1.0
267	1926	130	1.0
1244	2562	167	1.0
3752	3443	72	1.0
111	865	48	1.0
2295	230	8	1.0
2236	1440	43	1.0
2684	590	144	1.0
1763	649	23	1.0
177	1290	39	1.0
459	3238	73	1.0
491	3445	46	1.0
361	738	164	1.0
53	460	117	1.0
300	2147	92	1.0
364	2591	0	1.0
257	1875	42	1.0
2523	3099	64	1.0
157	1150	24	1.0
130	992	142	1.0
1994	1695	8	1.0
398	2746	17	1.0
375	2675	23	1.0
